n;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10;Topic 11;Topic 12;Topic 13;Topic 14;Topic 15;Topic 16;Topic 17;Topic 18;Topic 19;Topic 20;Topic 21;Topic 22;Topic 23;Topic 24;Topic 25;Topic 26;Topic 27;Topic 28;Topic 29;Topic 30
;Integrative & complementary medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Medical ethics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Medical informatics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Medicinal chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Medicine, general & internal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Medicine, research & experimental;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Neuroimaging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Neurosciences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nursing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nutrition & dietetics;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Obstetrics & gynecology;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oncology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ophtalmology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Orthopedics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Otorhinolaryngology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Parasitology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pathology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pediatrics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pharmacology & pharmacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Physiology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Psychiatry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Psychology & psychoanalysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Public, enviromental & occupational health;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Radiology, nuclear medicine & medical imaging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rehabilitation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Respiratory system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rheumatology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sport sciences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Substance abuse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Surgery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Toxicology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Transplantation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tropical medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Urology & nephrology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
