;Nuevo ID;Titulo_de_Documento;Abstract;Titulo_Revista;Ano;Tipo_Documento;Disciplina;Test;key1;key2;key3;key4;key5;Categoria_1;Frecuencia_1;j_1;Porcentaje;Cluster_15;Cluster_8;Cluster_20;lda_10;lda_30;lda_45
1221;2616;Antimetastatic Effect of Celecoxib/PLGA in a TA3-MTX-R Murine Breast Adenocarcinoma Model;Metastasis is the propagation process of a cancerous focus to an organ in Which Other than that it started Usually occurring through blood or lymphatic route. The most common sites of metastases are the MOST organs: such as the irrigated brain, lungs, liver, adrenal glands and bones. The objective was to analyze the pattern of liver tumor metastasis TA3-MTX-R, after application of antiangiogenic Celecoxib microencapsulated in PLGA in mice and metastatic Decreased level to lobular areas. An experimental model of tumor-induced TA3 MTX-R cells was used, divided into 18 mice 3 groups of 6 animals, Which Were Treated with two presentations Celecoxib intramuscular (Group 1 Control was used - R Group 1: TA3-MTX- R + Cx and Group 3: TA3-MTX-R + Cx / PLGA). The mice Were sacrificed and processed histologically to be stained with H & E and trichrome Arteta. The study revealed the liver That shows a marked heterogeneity, and a pattern of perivascular metastasis and central and peripheral neovascularization. Furthermore, Celecoxib Significantly reduced tumor invasion in the liver (p <0.0001). The results are similar to partial descriptions made and are comparable to Previously other tumor lines. It is Believed That the route of administration of the drug is critical for the interpretation of the results. These are Important for the discussion of other investigations in Which Celecoxib is used as an antiangiogenic drug.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2015;Artículo;Anatomy & morphology;0;celecoxib;liver;mtx;tumor;metastasi;tumor;59;12;0.0130878438331854;1;6;7;2;3;36
1222;2716;Blog Experiences: Compared Placenta;Nowadays, Tics are state of the art methodology used at all educational levels. THEREFORE, we designed a blog spot About Placenta Compared. Visitors found the original content and pictures of different development stages. Ten human placentas and 14 mammal Were used for pictures and educational materials of the blog mesoscopic and macroscopic photographs Were taken and subsequently processed by Were histological techniques. For evaluation of blog visits, statistics pertaining to blog format parameters Were used Between May and December 2, as well as an survey feedback, related to the items: photographs, video blog design and delivery. Blog statistics Showed a number of 9057 visitors, all Spanish speakers. The most searched topic was human placenta Characteristics of macroscopic Among them, key words, human, rat and rabbit placenta. The Windows operating system was used and the preferred browser, Explorer. The survey Showed the following results: Respondents Were mostly women of the obstetrics area blog access was through teachers. The blog met the expectations of visitors by 80.6%, while 62% found it attractive, tidy and didactic 57.4% Considered images explicative, easy to Understand With novel pictures 27.8% prior knowledge required for blog content. About 59.2% microscopic aspects rated them explanatory, easy to Understand and novel the video delivery received 50% rating and embryonic annexes equal variations of human placenta and received a 36% rating. Compared placenta was qualified as novel by 27.8% and 34.3% in prior knowledge required. Results Showed That methodology is valued in blog: learning, clinical aspect, as original equipment support for autolearning, and furthermore Considered innovative and surprising even for the lay public.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2011;Artículo;Anatomy & morphology;0;blog;placenta;human;novel;pictur;;0;0;0;12;6;12;1;8;16
1223;2773;Crossing the Barrier: When the Diaphragm Is Not A Limit;OBJECTIVE. The purpose of this article is to depict the anatomic pathways along Which transphrenic spread of diseases and entities can disseminate. CONCLUSION. The abdomen, and thorax form a continuum on Which the diaphragm is an Important disease but incomplete barrier to migration. © American Roentgen Ray Society.;AMERICAN JOURNAL OF ROENTGENOLOGY;2013;Artículo;Anatomy & morphology;0;abdomen;along;american;anatom;articl;;0;0;0;12;6;12;6;26;37
1224;3145;Análisis Morfométrico de los Túbulos Testiculares del Ratón Después de la Administración de Malation y Maca;Organophosphoric (OP) agropesticidas are amply used to Increase food production. However, it has-been verified That They induce testicular Alterations at level related to the diminution of fertility in humans as in animals. On the other hand, different studies Have Been made to Develop Natural or chemical compounds can induce an antagonistic That effect to OP. In previous studies an extract from a plant, from the Peruvian Andes (Maca) has bee;INTERNATIONAL JOURNAL OF MORPHOLOGY;2007;Artículo;Anatomy & morphology;0;induc;agropesticida;alter;ampli;andes;induc;54;14;0.0119787045252884;4;6;4;4;2;26
1225;3892;Axial and Appendicular Skeleton of Vertebrates;The first components of the dorsal vertebrae, Were arches (neural and interneural) and ventral (haemal and interhemal) That relied on the notochord, the next step was the formation of two centers (intercentre and pleurocentro), Which served to fix and support the arches. Many fish Have dorsal and ventral ribs. In birds cervical vertebrae and ribs are reduced are fused, the first thoracic ribs are floating and the majority present fixation and muscle Processes Allowing the chest wall Reinforce. Have mammals ribs on all thoracic vertebrae, the majority are true. The sternum is a structure of endochondral origin, fish, turtles, snakes and lizards have no sternum. Airborne Fowl are provided with a large prominent ventral keel sternum. Development of the axial skeleton: The notochord and ventral neural tube express Sonic hedgehog (SHH) That induces the ventromedial portion of somite to Become sclerotome and express the transcription factor Pax-1, Which controls the formation of cartilage and bone That Constitute the vertebrae. The expression pattern of Hox genes in vertebrates is what type of vertebral Determines Which structure is to be formed. The appendicular skeleton pectoral girdle Comprises the dermal and endochondral Consist of skeletal elements, holding the pectoral and pelvic girdle, endochondral elements That Consisting only sustain pelvic fin. The forelimbs and hindlimbs of tetrapods are built on the same pattern, differing in three regions: autopod, zeugopod and stylopod. Appendicular skeletal development: Is FORMED from lateral mesoderm Somatic and the apical ectodermal ridge. The lateral mesoderm and dermatome myotome Receives Somatic cells to form the outline member.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2013;Artículo;Anatomy & morphology;0;rib;ventral;vertebra;endochondr;form;;0;0;0;12;6;12;6;23;44
1226;3924;The relationship between skull morphology, masticatory muscle force and cranial skeletal deformation during biting;The human skull is gracile When Compared to many Middle Pleistocene hominins. It Has Been Argued That it is less able to generate high masticatory forces and withstand, and That the morphology of the lower portion of the modern human face MOST strongly correlates With dietary Characteristics. This study use geometric morphometrics and finite element analysis (FEA) to ASSESS the relationship Between skull morphology, muscle force and cranial deformations Arising from biting, Which is Relevant skull morphology in understanding how Relates to mastication. The three-dimensional skull anatomies of 20 Individuals Were reconstructed tomograms from medical computed. Maximal muscle contractile forces from muscle anatomical Were Estimated cross-sectional areas (CSAs). Fifty-nine landmarks Were used to Represent skull morphology. A partial least squares analysis was performed to assess it the association Between skull shape and muscle force, and FEA was used to compare the deformation (strains) incisor and molar During generated bits in two extremes of Individuals Representing morphological variation in the sample. The results Showed That only the proportion of overall muscle CSA Accounted for by the temporalis Appears associated with skull morphology, albeit weekly. However, with a large temporalis Individuals tend to POSSESS to face Relatively wider to narrower, more vertically oriented maxilla and a lower positioning of the coronoid process. The ugly Showed That, DESPITE Differences in morphology, biting results in a similar modes of deformation for Both crania, but lower magnitudes of Localized With strains Arising in the Individual with the narrowest, MOST maxilla vertically oriented. Our results Suggest That the morphology of the maxilla modulates the transmission of forces generated During mastication to the rest of the cranium by deforming less in Individuals with the ability to generate proportionately larger temporalis muscle forces.;ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER;2016;Artículo;Anatomy & morphology;0;morpholog;skull;forc;muscl;individu;;0;0;0;12;6;12;4;26;3
1227;4006;Anthropometric Patterns and Oxygen Consumption (VO2) of School-children Aymara and Non-aymara of 10-12 Years, Living in High Altitude (3500m) and the Plain (500 m), from Chile;The objective of esta study was to evaluate- weight, height, body mass index (BMI) and oxygen consumption (VO2 max) in a sample of 73 students of 10 to 12 years from Putre to 3500 meters of altitude (n = 31) and San Miguel Azapa 500 meters of altitude (n = 42). Subjects Were Grouped ACCORDING origin, gender, and Aymara and non-ethnic Aymara. The results show a significant decrease in anthropometric patterns in children of Putre Compared With students from San Miguel de Azapa. Aymara girls and boys have a BMI of Putre below average (& lt 20). Boys Aymara from San Miguel de Azapa have a greater weight than boys Significantly non-Aymara, however all students from San Miguel express normal BMI. The distance in meters Traveled (Test of 6 minutes of continuous running) and maximal oxygen consumption in liters per minute (VO2), not show significant Differences by gender, ethnicity and geographic origin. That multistressful We close up commercial environment of the high altitude (hypobaric hypoxia, low socioeconomic status and temperatures), would have a major impact on child growth, and maximum oxygen consumption, possibly reflecting adaptive Mechanisms of boys and girls from Putre.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2009;Artículo;Anatomy & morphology;0;aymara;boy;miguel;putr;san;;0;0;0;12;3;16;3;10;22
1209;280;Analysis of 6 Single-Nucleotide Polymorphisms in the Androgen Receptor Gene in Chilean Patients With Primary Spermatogenic Failure;Androgens are essential for spermatogenesis. It has-been postulated androgen activity is modulated That Directly or Indirectly by genetic variability androgen receptor gene in the sequence, Including CAG / GGN polymorphisms and single-nucleotide polymorphisms (SNPs). In This study, the frequency of 6 SNPs That Constitute a haplotype in the androgen receptor sequence was determined to by restriction enzyme assays and allele-specific polymerase chain reactions in 117 azo secretory / oligozoospermic men (93 idiopathic and 24 excryptorchidic), and in 121 controls With Normal spermatogenesis (42 and 79 normozoospermic obstructive men) Whose hormonal measurements and length of CAG / GGN polymorphisms Were Previously determined. The frequency of SNPs was not These six different Between Patients and controls. A Total of 10 haplotypes (HAP 1-10) by FORMED These six SNPs Were found, and one of These haplotypes was Observed With high frequency in the overall population (HAP1, 83.2% P & lt 0.001, <U+03C7> 2 test). The frequency of the 10 haplotypes was not different Between Patients and controls, except for HAP5, Which was only detected in one patient with a history of bilateral cryptorchidism (P = 0.014, Bonferroni test). On the other hand, found no associations Were Between the haplotypes Studied shorter or longer CAG and GGN or polymorphisms. Interestingly, we found That the CAG 21 allele, Which was correlated with previously With An Increased risk of idiopathic spermatogenic impairment, was more Frequently found the less common haplotypes Among That Have higher serum follicle-stimulating hormone levels. In summary, we did not find an Increased frequency of haplotypes in particularly infertile men with idiopathic spermatogenic impairment Compared With Control menu however, we found That the CAG 21 allele, Which Appears to be Associated With male infertility, is Observed at a Significantly higher proportion Among the less common androgen receptor haplotypes. © American Society of Andrology.;JOURNAL OF ANDROLOGY;2011;Artículo;Andrology;0;haplotyp;androgen;cag;found;frequenc;;0;0;0;12;6;19;4;20;29
1210;1467;DAX-1 and DAX-1A expression in human testicular tissues with primary spermatogenic failure;DAX-1 [dosage sensitive sex reversal-adrenal-hypoplasia congenital (AHC) critical region on the X chromosome gene 1 NR0B1] is an orphan nuclear receptor acts as a transcriptional That repressor in adrenal / gonadal development, steroidogenesis and spermatogenesis probably. An alternatively spliced <U+200B><U+200B>form called DAX-1A (NR0B1A) Has Been Described in the testis Several tissues Including, and in vitro studies an inhibitory effect Have Shown on DAX-1 transcriptional function. We Aimed to study the mRNA and protein expression of DAX-1 in testicular tissues of 65 men with primary spermatogenic failure [complete Sertoli cell only syndrome (SCOS), focal SCOS, maturation arrest and mixed atrophy] Compared With 33 controls With Normal spermatogenesis. As a novel finding, we Observed intense immunostaining, not only in the nucleus of Sertoli cells, but in pachytene spermatocytes Also spermatids and round. The quantitative mRNA expression of DAX-1 and DAX-1A was similarly Between cases and controls and was not associated With the levels of gonadotrophins and steroids. , Moreover, DAX-I transcript expression level was ~ 750-fold higher than DAX-1A, and there was a strong positive Correlation between them (r = 0.52 P <0.001). We close up commercial That, in Addition to Sertoli cells, DAX-1 / DAX-1A is Expressed in germ cells from spermatogonia to round spermatids. Besides, the expression of mRNA like DAX-I and DAX-IA in testicular tissues from cases and controls does not support the Involvement of DAX-1 in the etiology of primary spermatogenic failure. Finally, the low level of expression of the transcriptional alternative variant DAX-1A would not support ITS putative inhibitory function in vivo. © The Author 2011. Published by Oxford University Press on Behalf of the European Society of Human Reproduction and Embryology. All rights reserved.;MOLECULAR HUMAN REPRODUCTION;2011;Artículo;Andrology;0;dax;transcript;mrna;sertoli;tissu;;0;0;0;12;6;12;9;15;36
1211;2755;Levels of the retinoic acid synthesizing enzyme aldehyde dehydrogenase-1A2 are lower in testicular tissue from men with infertility;Objective To determine Whether testicular Decreased levels of enzymes Necessary for retinoic acid biosynthesis With male infertility associated Were, as retinoic acid is Known to be Necessary for spermatogenesis. Design Observational analysis of testicular tissue samples, sperm indices, and serum hormone Concentrations. Setting Two centers in Chile infertility. Patient (s) 32 infertile men and 11 Control menu. Intervention (s) Measurement of the three enzymes Necessary for retinoic acid biosynthesis, aldehyde dehydrogenase (ALDH) 1A1, 1A2, and 1A3, in testicular tissue by a novel liquid chromatography coupled With tandem mass spectrometry (LC-MS / MS) peptide assay. Main Outcome Measure (s) ALDH isozyme levels by type of infertility Compared and testicular germ cell Correlated With numbers, sperm parameters, and serum hormone and Intratesticular Concentrations. Result (s) Men with infertility HAD Significantly reduced levels of statistically but not ALDH1A1 ALDH1A2 ALDH1A3 or testicular tissue in Their Compared With Normal men with spermatogenesis. The ALDH1A2 protein levels correlated strongly Were With the number of germ cells found via testicular biopsy. Conclusion (s) ALDH1A2 These findings Suggest That is the enzyme Involved in retinoic acid biosynthesis in human germ cells. Further study of the relationship Between Intratesticular ALDH1A2 and male infertility is warranted to determine Whether men with infertility have a reduced ability to synthesize retinoic acid Within Their germ cells That Could impair spermatogenesis. © 2014 American Society for Reproductive Medicine Published by Elsevier Inc. All rights reserved.;FERTILITY AND STERILITY;2014;Artículo;Andrology;0;infertil;aldha;testicular;acid;retino;acid;47;17;0.0104259094942325;4;6;4;8;15;30
1212;3362;Greater prevalence of Y chromosome Q1a3a haplogroup in Y-microdeleted Chilean men: a case-control study;"Purpose: To determine the prevalence of South Amerindian Y chromosome in Chilean Patients With spermatogenic failure and Their association with classical and / or AZFc-partial Y chromosome deletions. Methods: We Studied 400 men, 218 With secretory azo / oligozoospermia (Cases) and 182 controls (116 fertile and / or normozoospermic, and 66 azoospermic With Normal spermatogenesis). After testicular complete characterization (physical evaluation, hormonal and / or biopsy) peripheral blood was drawn to obtener DNA for Y chromosome microdeletions, AZFc-partial deletions and biallelic analysis by allele specific polymerase chain reaction (PCR) of the M3 (rs3894) single nucleotide polymorphism (SNP). Results: Classical AZF microdeletions found in 23 cases Were (Y-microdeleted). AZFc-partial deletions Were Observed in 10 cases (6 \g / g\"", 3 \""b2 / b3\"" and 1 \""b1 / b3\"") and four controls (4 \""g / g\""). The AZFc-partial deletions Were mainly associated With the absence of DAZ1 / DAZ2 (64%). No significant Differences in the prevalence of AZFc-partial deletions Were Observed Between cases and controls. We Observed a significant higher proportion of the Q1a3a haplogroup Y-microdeleted men in Compared to Patients With spermatogenic failure without deletions and control men (P <0.01 and P <0.05, respectively by Bonferroni test). Among them, AZFb Patients With Increased deletions Had an Q1a3a the prevalence of haplogroup Compared to controls, cases without deletions and to Those With complete or partial-AZFc deletions (P <0.01, Bonferroni test). Conclusions: The Q1a3a South Amerindian lineage Seems to Increase the susceptibility to non AZFc microdeletions. On the other hand, in the Chilean population AZFc-partial deletions ( \""gr / gr\"", \""b1 / b3\"" and / or \""b2 / b3\"") does not seem to predispose to severe spermatogenic impairment. © 2 Springer Science + Business Media New York.""";JOURNAL OF ASSISTED REPRODUCTION AND GENETICS;2013;Artículo;Andrology;0;delet;azfc;partial;microdelet;chromosom;;0;0;0;12;6;12;4;15;9
